Date,Hour,Electric Load,Cooling Load,Irradiance,Ambient Temperature
2020-01-01,0,234.37,8.29,0.00,26.90
2020-01-01,1,211.71,3.97,0.00,26.80
2020-01-01,2,181.30,1.79,0.00,26.60
2020-01-01,3,181.34,0.97,0.00,26.40
2020-01-01,4,181.50,0.55,0.00,26.20
2020-01-01,5,236.75,0.55,0.00,26.00
2020-01-01,6,353.68,10.71,0.00,25.80
2020-01-01,7,421.01,26.32,0.00,25.70
2020-01-01,8,412.56,17.17,0.00,25.60
2020-01-01,9,413.11,24.30,0.00,25.50
2020-01-01,10,338.11,22.16,0.00,25.40
2020-01-01,11,336.98,29.59,19.00,25.60
2020-01-01,12,334.99,37.34,158.00,26.10
2020-01-01,13,338.15,40.11,364.00,26.80
2020-01-01,14,337.95,38.78,597.00,27.70
2020-01-01,15,337.56,36.41,745.00,28.70
2020-01-01,16,336.82,29.94,818.00,29.40
2020-01-01,17,318.52,32.12,837.00,29.70
2020-01-01,18,478.45,39.13,761.00,29.40
2020-01-01,19,574.94,51.79,565.00,29.10
2020-01-01,20,617.42,69.74,355.00,28.80
2020-01-01,21,566.06,104.94,163.00,28.40
2020-01-01,22,454.50,74.06,35.00,27.70
2020-01-01,23,287.64,42.95,0.00,27.20
2020-01-02,0,234.37,8.29,0.00,27.00
2020-01-02,1,211.71,3.97,0.00,26.70
2020-01-02,2,181.30,1.79,0.00,26.60
2020-01-02,3,181.34,0.97,0.00,26.40
2020-01-02,4,181.50,0.55,0.00,26.10
2020-01-02,5,236.75,0.55,0.00,26.00
2020-01-02,6,353.68,10.71,0.00,26.00
2020-01-02,7,421.01,26.32,0.00,25.80
2020-01-02,8,412.56,17.17,0.00,25.70
2020-01-02,9,413.11,24.30,0.00,25.60
2020-01-02,10,338.11,22.16,0.00,25.40
2020-01-02,11,336.98,29.59,22.00,25.50
2020-01-02,12,334.99,37.34,189.00,26.00
2020-01-02,13,338.15,40.11,414.00,26.80
2020-01-02,14,337.95,38.78,613.00,27.90
2020-01-02,15,337.56,36.41,768.00,28.90
2020-01-02,16,336.82,29.94,850.00,29.60
2020-01-02,17,318.52,32.12,857.00,29.80
2020-01-02,18,478.45,39.13,786.00,29.60
2020-01-02,19,574.94,51.79,651.00,29.10
2020-01-02,20,617.42,69.74,459.00,28.50
2020-01-02,21,566.06,104.94,236.00,28.00
2020-01-02,22,454.50,74.06,42.00,27.40
2020-01-02,23,287.64,42.95,0.00,27.00
2020-01-03,0,234.37,8.29,0.00,26.90
2020-01-03,1,211.71,3.97,0.00,26.70
2020-01-03,2,181.30,1.79,0.00,26.50
2020-01-03,3,181.34,0.97,0.00,26.20
2020-01-03,4,181.50,0.55,0.00,26.10
2020-01-03,5,236.75,0.55,0.00,26.10
2020-01-03,6,353.68,10.71,0.00,26.00
2020-01-03,7,421.01,26.32,0.00,25.80
2020-01-03,8,412.56,17.17,0.00,25.50
2020-01-03,9,413.11,24.30,0.00,25.30
2020-01-03,10,338.11,22.16,0.00,25.00
2020-01-03,11,336.98,29.59,23.00,25.10
2020-01-03,12,334.99,37.34,200.00,25.80
2020-01-03,13,338.15,40.11,428.00,26.80
2020-01-03,14,337.95,38.78,629.00,28.00
2020-01-03,15,337.56,36.41,777.00,29.00
2020-01-03,16,336.82,29.94,857.00,29.50
2020-01-03,17,318.52,32.12,863.00,29.70
2020-01-03,18,478.45,39.13,792.00,29.50
2020-01-03,19,574.94,51.79,656.00,28.90
2020-01-03,20,617.42,69.74,464.00,28.60
2020-01-03,21,566.06,104.94,239.00,28.20
2020-01-03,22,454.50,74.06,43.00,27.50
2020-01-03,23,287.64,42.95,0.00,27.00
2020-01-04,0,253.26,19.00,0.00,26.80
2020-01-04,1,252.68,13.32,0.00,26.70
2020-01-04,2,182.04,7.44,0.00,26.60
2020-01-04,3,181.92,5.53,0.00,26.40
2020-01-04,4,181.92,4.28,0.00,26.10
2020-01-04,5,188.35,3.04,0.00,26.10
2020-01-04,6,336.63,6.39,0.00,26.20
2020-01-04,7,350.53,17.64,0.00,26.10
2020-01-04,8,457.73,45.56,0.00,25.90
2020-01-04,9,456.87,44.12,0.00,25.60
2020-01-04,10,385.85,33.64,0.00,25.40
2020-01-04,11,349.40,39.29,22.00,25.70
2020-01-04,12,347.49,47.00,194.00,26.50
2020-01-04,13,350.18,50.04,422.00,27.40
2020-01-04,14,350.18,51.17,620.00,28.40
2020-01-04,15,349.60,46.03,764.00,29.10
2020-01-04,16,348.43,34.89,846.00,29.30
2020-01-04,17,329.85,34.58,853.00,29.40
2020-01-04,18,555.82,52.22,777.00,29.10
2020-01-04,19,621.66,66.86,643.00,28.70
2020-01-04,20,618.16,83.37,452.00,28.40
2020-01-04,21,618.59,116.58,228.00,27.90
2020-01-04,22,537.83,84.03,43.00,27.20
2020-01-04,23,326.43,51.71,0.00,26.80
2020-01-05,0,253.26,19.00,0.00,26.70
2020-01-05,1,252.68,13.32,0.00,26.40
2020-01-05,2,182.04,7.44,0.00,26.20
2020-01-05,3,181.92,5.53,0.00,26.10
2020-01-05,4,181.92,4.28,0.00,26.00
2020-01-05,5,188.35,3.04,0.00,26.00
2020-01-05,6,336.63,6.39,0.00,25.90
2020-01-05,7,350.53,17.64,0.00,25.90
2020-01-05,8,457.73,45.56,0.00,25.90
2020-01-05,9,456.87,44.12,0.00,25.80
2020-01-05,10,385.85,33.64,0.00,25.70
2020-01-05,11,349.40,39.29,21.00,25.80
2020-01-05,12,347.49,47.00,184.00,26.30
2020-01-05,13,350.18,50.04,409.00,26.90
2020-01-05,14,350.18,51.17,606.00,27.70
